URL,Ten,Gia,MoTa (nếu có),DanhMuc,Điền URL để phân biệt các nhà hàng
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Grilled eggplant with onion and chili,98000,"Cà tím nướng, hành tây, ớt",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Fried mushroom with water morning glory,108000,"Nấm, rau muống",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Sauteed Bok choy with shiitake mushroom,118000,"Bắp cải trắng, nấm shiitake",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Delight salad Vi Que style,138000,"Các loại rau, nấm, sốt đặc biệt",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Water mimosa delight salad,148000,"Dưa lưới, đậu bắp, nấm, sốt",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Papaya delight salad,138000,"Đu đủ, cà rốt, đậu phộng, tỏi, ớt, sốt",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Pumpkin buds salad,148000,"Nụ bí ngô, rau thơm, nước tương, ớt, lạc rang",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Vi Que Hotpot,348000,"Nấm tuyết, nấm king oyster, nấm đùi gà, nấm nâu, nấm abalone, nấm mèo, bún tươi, hành tây, đậu que, rau muống, đậu phụ, rau thơm",Hotpot,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Thai Hotpot,348000,"Nấm đông cô, nấm king oyster, nấm mèo, hoa chuối, bún tươi, rau muống, đậu que",Hotpot,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Fermented tofu hotpot,348000,"Đậu phụ lên men, nấm tuyết, nấm đùi gà, nấm nâu, nấm king oyster, nấm mèo, đậu que, rau muống, đậu phụ non, rau cải",Hotpot,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Satay Hotpot,348000,"Hạt tiêu đen, đậu phộng, sả, hành tây, tỏi, nấm king oyster, nấm nâu, nấm mèo, bún tươi, rau muống, đậu que",Hotpot,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Black termitomyces mushroom and bitter herb Hotpot,348000,"Nấm mối đen, rau đắng, nấm king oyster, nấm nâu, nấm mèo, nấm đùi gà, bún tươi, rau muống, đậu que, rau cải",Hotpot,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Nước khoáng ion,10000,Nước khoáng tự nhiên,Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Lemon Soda,48000,"Nước soda, chanh",Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Nước cam,58000,Cam tươi,Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Nước dứa,58000,Dứa tươi,Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Nước cà rốt,58000,Cà rốt tươi,Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Nước ép hỗn hợp (Cam/ Dứa/ Cà rốt),68000,"Cam, dứa, cà rốt",Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Trà hoa Hibiscus với cam và quế,68000,"Hoa Hibiscus, cam, quế",Giải khát,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Trà Lipton với cam và sả,68000,"Trà Lipton, cam, sả",Giải khát,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Súp bắp cua,890000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Súp hải sản,890000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Súp măng tây cua,890000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Súp nấm thập cẩm,890000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Súp cua hải sâm,22000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Súp V.C,22000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Chân gà đông tảo tiềm sâm,23000,,Súp,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Thịt nguội tửu bổ,520000,,Khai vị,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Khai vị Phố 79,550000,,Khai vị,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Nem cua rán,550000,,Khai vị,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Chả giò tôm cua,550000,,Khai vị,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Chả mực,590000,,Khai vị,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cháo ốc hương,980000,,Cháo,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cháo cá thi là,140000,,Cháo,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi sò huyết ốc hương,139000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi ốc hương hoa chuối,139000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi cua dưa hấu tôm thịt,520000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi ngó sen tôm thịt,520000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi sứa nam định,520000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi bưởi pún bò,520000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi rau muống tép đồng,560000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi cải mầm bò trứng,590000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi mực thái,520000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gỏi hải sản thái,520000,,Gỏi,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Nộm đu đủ khô bò,490000,,Nộm,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gà ta quay xôi chiên,790000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gà ta hấp hành/lá chanh/mắm nhĩ,750000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gà ta nướng muối ớt,750000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Xôi gà ta,790000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Vịt hầm gừng/ hấp xôi lá sen,990000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Xôi L.L,149000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Bồ câu quay/ rô ti/ nướng muối ớt (5 con),120000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gà ta nấu cà ri - bánh mì,850000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Gà ta tiềm ớt hiểm/nấu lá giang,890000,,Gà - Vịt - Bồ câu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá mú trân châu hấp HK/chưng tương(1.3kg),180000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá chim trắng nướng muối ớt/ hấp hồng kong(1.2kg),720000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá chạch lấu nướng muối ớt (1kg),129000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá mú đỏ hấp hồng kong/chưng tương (1kg),399000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá tầm 2 món (2kg),199000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá chình 2 món (2kg),199000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá bớp giòn 2 món (2 kg),199000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,"Cá chép giòn 2 món (2,4kg)",199000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá trê đồng nướng lá lốt/ nấu mẻ (1kg),199000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cá trắm nấu mẻ (1kg),199000,,Các món cá,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Tôm càng xanh rang muối,199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Tôm càng xanh nướng/rang muối (10 con = 2kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Tôm sú hoàng kim/rang me/nướng/hấp (0.8kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Tôm tích cháy tỏi (1.5kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Tôm hùm 2 món (2kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Tôm Alaska 2 món (3kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Xôi cua Phố 79 (1kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Ghẹ hấp/nướng/rang me (5 con = 1.5kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Mực ống hấp gừng/chiên nước mắm,199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Mực lá câu hấp gừng/nướng muối ớt (1kg),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cua lột sốt tỏi/chiên cơm xanh (05 con),199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cồi sò điệp sốt dầu hào,199000,,Các món tôm-cua-ghẹ-mực,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cơm chiên cá mặn hải sản/dương châu,199000,,Các món cơm-mì-miến-hủ tiếu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Cơm chiên Phố 79,199000,,Các món cơm-mì-miến-hủ tiếu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Mì xào hải sản/bò,199000,,Các món cơm-mì-miến-hủ tiếu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Miến xào cua/hải sản,199000,,Các món cơm-mì-miến-hủ tiếu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Hủ tiếu áp chảo bắp bò/hải sản,199000,,Các món cơm-mì-miến-hủ tiếu,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Miến cua tay cầm,199000,,Các món cơm-mì-miến-hủ tiếu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Gói ngó sen,72000,,Món gỏi,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Gỏi Shanti,86000,,Món gỏi,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Gỏi Kim Trùng Thảo,95000,,Món gỏi,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Chân Nấm Dê Kho Gừng / Tiêu,95000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Đùi Gà Sapo,95000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Đùi Gà Bơ Tỏi,95000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Nướng Giấy Bạc,95000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Hầu Thủ Kho Tàu,109000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Hầu Thủ Sốt (Chua Ngọt/Kem),109000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Hầu Thủ Rang Muối Hong Kong,109000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Nấm Nê,119000,,Món nấm,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Nấm Shanti,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Thái,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Trùng Khánh,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Tiềm Ớt Hiểm,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Chao,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Khổ Qua,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Phô Mai,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Hoa Cúc Sữa,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Lẩu Bào Ngư Tiềm Thuốc Bắc,259000,,Món lẩu,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Cà Tím Tay Cầm,69000,,Món rau,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Đậu Bắp Tắm Mắm,59000,,Món rau,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Đậu Bắp Xào Dầu Hào,59000,,Món rau,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Đọt Xu Xào Dầu Hào / Tỏi,59000,,Món rau,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Cải Thìa Sốt Dầu Hào Đông Cô,72000,,Món rau,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Rau Luộc Kho Quẹt,72000,,Món rau,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Salad Wakame,109000,Salad rong biển tươi Nhật. Fresh marinated Japanese seaweed.,Salad,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Salad cá hồi Skin,129000,"Da cá hồi, gạo lức, dưa leo, sốt teriyaki, rong biển khô, trứng cá chuồn, rong biển. Salmon skin, crispy brown rice, cucumber, teriyaki sauce, nori, flying fish eggs.",Salad,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Salad Umibudo,69000,Salad rong nho biển. Grape seaweed salad.,Salad,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Salad Poki,219000,"4 loại cá tươi chọn ngon của đầu bếp, trứng cá chuồn, bơ, trứng cá hồi, sốt cay Hàn Quốc. Chef's freshest choice of 4 types of fish, tobiko, ikura, avocado and Korean spicy sauce.",Salad,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Rau luộc,129000,Rau luộc. Steamed vegetables.,Salad,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Edamame,69000,Đậu nành Nhật hấp muối. Steamed Japanese soybeans with salt.,Khai vị,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Gyoza,99000,5 miếng sủi cảo thịt heo kiểu Nhật hấp hoặc áp chảo. 5 Japanese pork notstickers steamed or pan-fried,Khai vị,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Tempura,99000,1 con tôm và rau củ chiên tempura. 1 deep fried shrimp and vegetables.,Khai vị,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Chawanmushi,59000,"Trứng hấp, hải sản và nấm kiểu Nhật. Steamed egg, seafood and mushroom.",Khai vị,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Mr. Van Maki,199000,"Cơm cuộn cá hồi, tôm chiên tempura, bơ, trứng cá chuồn, sốt cay. Salmon, fried shrimp, avocado, flying fish eggs.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Dragon Roll,199000,"Cơm cuộn thanh cua tuyết Nhật, lươn, dưa leo, bơ, sốt teriyaki, trứng cá chuồn. Japanese snow crab, smoked eel, cucumber",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Tokyo Maki,169000,"Cơm cuộn cá hồi Na Uy, phô mai, trứng cá chuồn, dưa leo, sốt cay. Salmon, cheese, fish eggs, cucumber and spicy sauce.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Saigon Maki,199000,"Lươn hun khói, tôm chiên tempura, bơ, trứng cá chuồn, sốt teriyaki, smoked eel, fried shrimp, avocado teriyaki sauce.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,USA Maki,219000,"Lươn chiên tempura, cá hồi, phô mai, trứng cá chuồn, sốt ponzu. Fried eel, cheese, salmon, fish eggs, onions.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Sake Boto Nigiri,219000,"4 miếng cá hồi, sò điệp, trứng cá chuồn, dưa leo, sốt cay. 4 pieces salmon, scallop, fish eggs, cucumber, spicy sauce.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Ichihana Blossom,229000,"5 miếng cá ngừ, thanh cua tuyết, bơ, trứng cá chuồn, sốt cay, cơm, rong biển. 5 pieces tuna, avocado, rice, snow crab, fish eggs.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,French Maki,199000,"Cơm cuộn tôm chiên tempura, cá ngừ, bơ, trứng cá chuồn, sốt cay. Fried shrimp, tuna, avocado, fish eggs, spicy sauce.",ICHIHANA AWESOME,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,California Maki,129000,"Cơm cuộn thanh cua tuyết, dưa leo, bơ, trứng cá chuồn, sốt salad. Snow crab, cucumber, avocado, flying fish eggs.",MAKI,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Tekka Maki,59000,Cơm cuộn cá ngừ đại dương. Tuna roll.,MAKI,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Sake Maki,69000,Cơm cuộn cá hồi Na Uy. Salmon roll.,MAKI,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Kappa Maki,49000,Cơm cuộn dưa leo Nhật. Japanese cucumber roll.,MAKI,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Gà nướng sốt teriyaki,129000,Gà nướng mềm với sốt teriyaki. Tender grilled chicken with teriyaki sauce.,Nướng,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Cá Saba Nhật nướng muối hoặc sốt teriyaki,169000,Cá Saba Nhật nướng muối hoặc sốt cay. Grilled mackerel pike with salt and chili pepper or teriyaki sauce.,Nướng,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Cá hồi Na Uy nướng muối hoặc sốt teriyaki,199000,Cá hồi Na Uy nướng muối hoặc sốt cay. Grilled Norway salmon. Salt and chili pepper or teriyaki sauce.,Nướng,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Cá Saba Nhật nướng muối hoặc sốt teriyaki,129000,Cá Saba Nhật nướng muối hoặc sốt cay. Grilled mackerel. Salt and chili pepper or teriyaki sauce.,Nướng,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,"Thịt heo chiên xù kiểu Nhật với cơm, salad, súp miso",159000,"Thịt heo chiên xù kiểu Nhật với cơm, salad, súp miso. Deep fried pork cutlets with rice, salad, and miso soup.",Chiên,
https://pasgo.vn/nha-hang/nha-hang-ichihana-sushi-cao-thang-2638,Cơm chiên cá hồi kiểu Nhật với súp miso,199000,Cơm chiên cá hồi kiểu Nhật với súp miso. Salmon fried rice and miso soup.,Chiên,
